site,fiscal_year,week_sum,incidents_ytd,fclm_hours,process_path,incidents_weekly,avg_hours_per_path,avg_incident_per_path,fclm_hours_4wk_std,incident_4wk_std,incidents_per_1k_hours,hours_deviation,deviation_pct,process_path_rank,top_3_flag_path,incident_drop,incident_spike,hours_drop,hours_spike
teb3,2025,4,0,199.65,c-returns processed,0,151.205,0.0,55.66185520623614,0.0,0.0,48.44499999999999,0.32039284415197905,3,1,0,0,0,1
teb3,2025,4,0,15.81,c-returns stow,0,15.81,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0
teb3,2025,4,0,184.16,c-returns support,0,110.56,0.0,60.81639745989562,0.0,0.0,73.6,0.6657018813314037,3,1,0,0,0,1
teb3,2025,4,0,1221.63,container build,0,1311.6475,0.0,55.34509886837326,0.0,0.0,-90.01749999999993,-0.06862933829401567,3,1,0,0,1,0
teb3,2025,4,0,224.54,container load,0,263.69,0.0,24.092435534831242,0.0,0.0,-39.150000000000006,-0.1484697940763776,3,1,0,0,1,0
teb3,2025,4,0,217.39,container move,0,235.735,0.0,12.201931199608795,0.0,0.0,-18.345000000000027,-0.07782043396186407,3,1,0,0,1,0
teb3,2025,4,0,85.45,cubiscan,0,62.1475,0.0,22.42711681759383,0.0,0.0,23.302500000000002,0.37495474476044893,3,1,0,0,0,1
teb3,2025,4,0,1.2,custom packaging,0,1.4566666666666668,0.0,0.25249862485874125,0.0,0.0,-0.2566666666666668,-0.17620137299771177,3,1,0,0,1,0
teb3,2025,4,0,902.46,each transfer in,0,965.025,0.0,175.16176844562835,0.0,0.0,-62.56499999999994,-0.06483251729229807,3,1,0,0,1,0
teb3,2025,4,0,32.9,gift-wrap,0,23.165,0.0,16.850561563342634,0.0,0.0,9.735,0.4202460608676883,3,1,0,0,0,1
teb3,2025,4,0,397.74,ib problem solve,0,409.4525,0.0,46.96177454856242,0.0,0.0,-11.712499999999977,-0.028605271673759418,3,1,0,0,1,0
teb3,2025,4,0,2168.5,ic-qa-cs,0,1860.79,0.0,335.85464958818125,0.7071067811865476,0.0,307.71000000000004,0.1653652480935517,3,1,0,0,0,1
teb3,2025,4,0,117.79,inbound lead/pa,0,134.96,0.0,13.084981849433188,0.0,0.0,-17.17,-0.12722288085358624,3,1,0,0,1,0
teb3,2025,4,0,112.57,lp-receive,0,88.655,0.0,20.492694429966992,0.0,0.0,23.914999999999992,0.26975353899949234,3,1,0,0,0,1
teb3,2025,4,0,114.43,ob problem solve,0,123.4425,0.0,17.881485361960298,0.0,0.0,-9.012499999999989,-0.07300970087287595,3,1,0,0,1,0
teb3,2025,4,0,67.44,on boarding,0,122.4125,0.0,93.04722923736095,0.0,0.0,-54.9725,-0.449075870519759,3,1,0,0,1,0
teb3,2025,4,0,298.81,outbound lead/pa,0,331.8875,0.0,52.32341749876424,0.0,0.0,-33.077499999999986,-0.09966479605287933,3,1,0,0,1,0
teb3,2025,4,0,444.95,pack multis,0,463.86,0.0,31.292557421853434,0.0,0.0,-18.910000000000025,-0.040766610615271905,3,1,0,0,1,0
teb3,2025,4,0,1573.36,pack singles,0,1693.105,0.0,83.05651464514678,0.0,0.0,-119.74500000000012,-0.07072508793016388,3,1,0,0,1,0
teb3,2025,4,0,583.21,pack support,0,625.2275,0.0,50.15101413481134,0.0,0.0,-42.01749999999993,-0.06720353791219985,3,1,0,0,1,0
teb3,2025,4,0,194.57,pallet transfer in,0,191.17000000000002,0.0,19.92724391379774,0.0,0.0,3.3999999999999773,0.017785217345817738,3,1,0,0,0,1
teb3,2025,4,0,61.16,pallet-receive,0,69.91499999999999,0.0,13.31461696782903,0.0,0.0,-8.754999999999995,-0.12522348566115993,3,1,0,0,1,0
teb3,2025,4,0,744.6,pick support,0,788.295,0.0,137.2561937582419,0.0,0.0,-43.694999999999936,-0.0554297566266435,3,1,0,0,1,0
teb3,2025,4,0,117.85,prep recorder,0,96.335,0.0,18.101216119366168,0.0,0.0,21.515,0.22333523641459493,3,1,0,0,0,1
teb3,2025,4,0,652.7,receive dock,0,562.9375,0.0,64.91120410799682,0.0,0.0,89.76250000000005,0.15945375818807603,3,1,0,0,0,1
teb3,2025,4,0,493.12,receive-support,0,485.82,0.0,71.73321859501344,0.0,0.0,7.300000000000011,0.015026141369231426,3,1,0,0,0,1
teb3,2025,4,0,1574.86,rsr support,0,1421.9975,0.0,240.14077906251177,0.0,0.0,152.86249999999995,0.10749843090441435,3,1,0,0,0,1
